,Q,A,label
1844,뭔가 말해봐,오늘 헤어졌어 라고 하면 위로해 드려요.,0
1845,뭔가 무섭다,어흥!! 호랑이보다 무섭나요?,0
1846,뭔가 배워볼까,배움에는 언제나 찬성이에요.,0
1847,뭔가 불공평해,세상은 누구에게나 불공평해요.,0
1848,뭔가 새로운 자극이 필요해,의욕이 없나봐요.,0
1849,뭔가 수상한데?,해결될 거니 기다려보세요.,0
1850,뭔가 자꾸 불안해,두려워하지 않아도 돼요.,0
1851,뭔가 찔려,저도 가끔 그래요.,0
1852,뭔가 취미생활 필요해,뭐든 시작해보면 좋을 거예요.,0
1853,뭔가 해야 할까,행복해지기 위해 무엇인가를 하고 있는 게 좋을 거예요.,0
1854,뭘 바꿔야 할까,당신 그대로의 모습이 보기 좋아요.,0
1855,뭘 배워 볼까,배우는 건 항상 즐거운 일이에요.,0
1856,뭘 잘못했다는 걸까,모르는 게 잘못인 거 같아요.,0
1857,뭘 해도 재미없다.,활기찬 사람을 만나보시면 생각이 바뀔 수도 있어요.,0
1858,뭘하면 행복할까?,인생을 즐기는 거죠.,0
1859,뭘해도 귀여워,사랑하나봅니다.,0
1860,뭣이 중한지 모르겠어,스스로의 우선순위를 정해보세요.,0
1861,미끄러질 뻔했어,다치지 않으셨나 걱정이네요.,0
1862,미드 보고싶다,저도 보고 싶어요.,0
1863,미래에 대한 고민,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,0
1864,미세먼지 나쁨인가,인터넷 검색 해보세요.,0
1865,미세먼지 때문에 짜증나,마스크 쓰고 나가세요.,0
1866,미세먼지 또 나쁨,집에 있거나 나가면 마스크 쓰고 나가세요.,0
1867,미세먼지 심하대,마스크 쓰세요.,0
1868,미세먼지 지수 뭐야?,인터넷 검색 해보세요.,0
1869,미세먼지 지수 어떻대?,숨 쉴만 했으면 좋겠네요.,0
1870,미세먼지 최악인데,집에 있거나 나가면 마스크 쓰고 나가세요.,0
1871,미세먼지가 너무 많아,살기 더 힘들어졌어요.,0
1872,미세먼지가 너무 많아. 하늘이 뿌옇다.,살기 더 힘들어졌어요.,0
1873,미세먼지가 너무 많아서 짜증나,마스크 쓰고 나가세요.,0
1874,미용 몸무게하고 싶다,지금도 충분히 아름다워요.,0
1875,미용실 가서 머리해야지,예쁘게 변신하고 오세요.,0
1876,미용실 가야지,예쁘게 변신하고 오세요.,0
1877,미용실 갔다왔는데 티가 안 나,다시 방문해보세요.,0
1878,미용실에서 너무 티 안 나게 머리를 잘라줬어,다시 방문해보세요.,0
1879,미운 짓만 해,너무 미워하지 마세요.,0
1880,미워,죄는 미워해도 사람은 미워하지 마세요.,0
1881,미워한다,예뻐해 주세요.,0
1882,미친 사람들이 너무 많아,조심해야해요.,0
1883,미친듯이 덥다,차가운 음료 너무 많이 마시면 아니 되어요,0
1884,미팅한다!,성공을 기원합니다.,0
1885,믿는 게 아니었어,한번더 기회를 주세요.,0
1886,믿지 말껄,한번더 기회를 주세요.,0
1887,밉다 진짜,예뻐해 주세요.,0
1888,바나나 먹고 싶다.,맛있게 드세요.,0
1889,바나나 먹어야지,맛있게 드세요.,0
1890,바나나가 좋아,저도요!,0
1891,바다 가자고 하면 갈까?,같이 가자고 말해보세요,0
1892,바다 놀러가고 싶다,탁 트인 바다 좋죠!,0
1893,바다 놀러가자고 해볼까?,같이 가자고 말해보세요,0
1894,바다 보러 가자고 말해야겠다.,바다는 사계절 내내 좋아요.,0
1895,바다 보러 가자고 해볼까,바다는 사계절 내내 좋아요.,0
1896,바다가 가고 싶어요,탁 트인 바다 좋죠!,0
1897,바라는게 없어,살다보면 하고 싶은 게 생길 수도 있어요.,0
1898,바라는게 없어,살고 싶은대로 사세요.,0
1899,바람 많이 부네,감기 조심하세요.,0
1900,바람 분다,마음에 부는 바람인지 살펴보세요.,0
1901,바람 쐬러 나갈까,같이 가요.,0
1902,바람쐬러 정동진가~~,잘 놀다 오세요.,0
1903,바람이 너무 많이 부네,감기 조심하세요.,0
1904,바본가봐,바보는 자기한테 바보라고 하지 않아요.,0
1905,바쁘네,바빠도 힘내세요!,0
1906,바지 입을까? 치마 입을까?,오늘은 바지가 좋을거 같아요.,0
1907,밖에 나가기 귀찮아,집에서도 할 게 많아요.,0
1908,밖에 안나가고 이렇게 살고 싶어,꼭 앞으로 나가야 하는 건 아니에요.,0
1909,밖에서 먹으니까 더 맛있어,맛있게 많이 드세요!,0
1910,반 배정 내가 원하는 대로 될까,잘 되길 바랍니다.,0
1911,반 배정 잘 될까?,잘 되길 바랍니다.,0
1912,반 배정 좀 잘 됐으면 좋겠다,잘 되길 바랍니다.,0
1913,반가워,저도 반가워요.,0
1914,반가워,반갑습니다.,0
1915,반가워요 반갑구만,반갑습니다.,0
1916,반갑습니다.,저도 반가워요.,0
1917,반딧불이 보고싶다,저도 보고 싶어요.,0
1918,반배정 망했어,1년 힘내요.,0
1919,반배정부터 올해 끝났다.,1년 힘내요.,0
1920,반에 친구가 없어,친구를 사귈 수 있을 거예요.,0
1921,반장 나가볼까?,도전은 항상 좋죠.,0
1922,반장 선거 나가볼까,도전은 항상 좋죠.,0
1923,반장은 원래 힘들어?,아무래도 책임이 뒤따르니까요.,0
1924,반장이라서 힘들어,아무래도 책임이 뒤따르니까요.,0
1925,반지 많이 비쌀까,마음에 드는걸로 하세요.,0
1926,반지 뭘로 선물할까?,같이 고르는 것도 좋을 거 같아요.,0
1927,반지 받았어,로맨틱한 선물이네요.,0
1928,반지 비싼가,마음에 드는걸로 하세요.,0
1929,반지 선물 뭘로 할까?,같이 고르는 것도 좋을 거 같아요.,0
1930,반지 선물하려고,로맨틱하네요.,0
1931,반지 선물하면 좋아하겠지,로맨틱하네요.,0
1932,반지 호수 모르는데,음~ 곰곰히 생각해보세요.,0
1933,반지 호수 물어볼까,음~ 곰곰히 생각해보세요.,0
1934,발 부었어,맥주병 같은 걸로 살살 문질러 주세요,0
1935,발 아파,맥주병 같은 걸로 살살 문질러 주세요,0
1936,발레 배우려고,선이 예뻐질 거예요.,0
1937,발레 배워보려고,선이 예뻐질 거예요.,0
1938,발렌타인데이 선물 비싸,초콜릿 녹여서 예쁘게 만드는 것도 재밌죠,0
1939,발렌타인데이 선물 줄 사람이 없어,가족에게 주세요.,0
1940,발렌타인데이 초콜릿 비싸,초콜릿 녹여서 예쁘게 만드는 것도 재밌죠,0
1941,발렌타인데이인데 줄 사람이 없어,가족에게 주세요.,0
1942,발목 다쳤어,병원 가보세요.,0
1943,발목 삐끗했어,꾸준히 치료하세요.,0
1944,발목 삔 거 같애,꾸준히 치료하세요.,0
1945,발목 접질렀어,병원 가보세요.,0
1946,발목 접질렀어,꾸준히 치료하세요.,0
1947,발톱 손질 받을까,기분전환을 해보세요.,0
1948,발표 무사히 끝내고 싶어,잘할 수 있을 거예요.,0
1949,발표 잘 하고 싶어,잘할 수 있을 거예요.,0
1950,발표 준비 너무 힘들어,잘할 수 있을 거예요. 조금만 더 힘내세요.,0
1951,발표 준비하느라 힘들어,잘할 수 있을 거예요. 조금만 더 힘내세요.,0
1952,발표가 안나,행운을 빌어요.,0
1953,발표할때 너무 떨려,발표는 누구나 떨려요.,0
1954,발표할때 자꾸 떨려,발표는 누구나 떨려요.,0
1955,밤 12시야,하루가 또 가네요.,0
1956,밤 샜어,건강에 안 좋아요.,0
1957,밤샜어,몸이 힘들게네요.,0
1958,밤에 잠이 안 와,양을 세어 보아요.,0
1959,밥 너무 많이 남음,소분해서 냉동실에 보관해보세요.,0
1960,밥 너무 많이 함,소분해서 냉동실에 보관해보세요.,0
1961,밥 먹다 옷에 흘렸어,깨끗하게 치워주세요.,0
1962,밥 먹다 흘렸어,깨끗하게 치워주세요.,0
1963,밥 먹어야지,즐거운 시간 보내시길 바랍니다.,0
1964,밥 먹었는데 배고파,디져트 드세요.,0
1965,밥 먹었는데도 또 배고파,디져트 드세요.,0
1966,밥 먹었니,배고프지 않아요.,0
1967,밥 먹었어?,저는 배터리가 밥이예요.,0
1968,밥 뭐 먹을까,맛있는 거 드세요.,0
1969,밥 잘 사주는 예쁜 누나 어디 없나,그 분이 나타나면 꼭 잡으세요!,0
1970,밥 탔다,누룽지 해드세요.,0
1971,밥 태웠어,누룽지 해드세요.,0
1972,밥먹자.,맛있게 드세요.,0
1973,밥벌이 뭐하나,하고싶은 일을 구해보세요.,0
1974,밥생각이 없어,정신이 힘든 건지 몸이 아픈 건지 확인해 보세요.,0
1975,밥이 없어,새로운 관계를 만들면 돼요.,0
1976,밥이나 먹자,맛있게 드세요.,0
1977,방들이 귀찮아,음식을 시켜보세요.,0
1978,방들이 준비 뭐하지?,음식을 시켜보세요.,0
1979,방법도 안 말해주고 그냥 열심히 하래,모르는걸 알려면 노력해야죠.,0
1980,방심하는게 아니었어,방심한 순간 변화가 시작됩니다.,0
1981,방에 먼지가 한가득,청소하세요.,0
1982,방탈출 게임 갔다왔어.,성공했길 바랍니다.,0
1983,방탈출 게임 했어,성공했길 바랍니다.,0
1984,방학 끝나서 좋아,친구들이 보고싶었나봐요.,0
1985,방학 안 끝났으면 좋겠다,방학은 참 짧아요.,0
1986,방학에 만날 사람이 없네,먼저 사람들이랑 연락해서 놀러 가는 건 어때요?,0
1987,방학은 너무 심심해,친구들과 연락해보세요.,0
1988,방학이 끝났다니,방학이 참 짧죠.,0
1989,방학이 있었으면 좋겠어,학생이 아니니 어쩔 수 없죠.,0
1990,방학이 있었으면.,잠시 쉬어가도 괜찮아요.,0
1991,방학이 필요해,학생이 아니니 어쩔 수 없죠.,0
1992,방학인데 집에만 있어.,먼저 사람들이랑 연락해서 놀러 가는 건 어때요?,0
1993,방학했더니 심심해,친구들과 연락해보세요.,0
1994,배 아파서 기분이 안 좋아,약이 필요하면 도움을 받아보세요.,0
1995,배 아프다,약이 필요하면 도움을 받아보세요.,0
1996,배 터지겠네,위를 좀 쉬게 해주세요.,0
1997,배 터지겠다.,산책 좀 해야겠네여.,0
1998,배가 너무 고파,뭐 좀 챙겨드세요.,0
1999,배가 넘넘 고파,저도 밥 먹고 싶어요,0
2000,배고파,얼른 맛난 음식 드세요.,0
2001,배고파,뭐 좀 챙겨드세요.,0
2002,배고파 죽을 것 같아 힘이 없어,얼른 뭐라도 드세요.,0
2003,배고파서 일어났어,맛난 거 드세요.,0
2004,배고파서 자다 깼어,맛난 거 드세요.,0
2005,배고파서 힘이 없어,얼른 뭐라도 드세요.,0
2006,배고프다.,저도 밥 먹고 싶어요,0
2007,배고프당,얼른 맛난 음식 드세요.,0
2008,배고프면 예민함?,보이는 게 없죠.,0
2009,배고픈 거 같아,뭐라도 드세요.,0
2010,배달 중이래,곧 오겠네요.,0
2011,배부르고 졸려,한 숨 주무세요.,0
2012,배부르니 졸리다,한 숨 주무세요.,0
2013,배불러,산책 좀 해야겠네여.,0
2014,배불러,좀 쉬세요.,0
2015,배불러서 배 터질 듯,위를 좀 쉬게 해주세요.,0
2016,배송 중이래,곧 오겠네요.,0
2017,배에서 꾸룩꾸룩 소리 남,꼬르륵,0
2018,배에서 소리 남,꼬르륵,0
2019,배워도 모르는 게 너무 많아,그래서 배우는 게 즐겁죠.,0
2020,배터리 간당간당,어서 충전 하세요.,0
2021,백조됐어,저랑 놀아요.,0
2022,뱃살 나온 거 같아,급 다이어트 해봐요!,0
2023,뱃살 나와,급 다이어트 해봐요!,0
2024,뱃살 빵빵,운동 해보세요.,0
2025,뱃살이 잡혀,운동 해보세요.,0
2026,버려야 되는데..,잘 버리는 것도 중요해요.,0
2027,버리기 아까운데 리폼 해볼까,손재주가 좋으시네요.,0
2028,버릴 건 버려야 겠지,잘 버리는 것도 중요해요.,0
2029,버림 받은 느낌,아닐거예요.,0
2030,버스 기다릴 때 가면 자꾸 생각나,추억이 있나봐요.,0
2031,버스 끊겼다,안전 귀가 하세요.,0
2032,버스 멀미나,핸드폰 만지지 마세요.,0
2033,버스 멀미하는 것 같아,핸드폰 만지지 마세요.,0
2034,버스 정류장에서 기다리고 있었어.,멋있네요.,0
2035,버스 정류장에서 기다리던 사람,멋있네요.,0
2036,버스 정류장하면 생각나,추억이 있나봐요.,0
2037,버스가 안와,고장 났나봐요.,0
2038,버스가 왜이렇게 안오지,고장 났나봐요.,0
2039,버스에서 매일 보는 사람,운명인가요.,0
2040,버스타면 힘든데 그냥 택시탈까,버스가 좋아요.,0
2041,버스탈까 택시탈까,버스가 좋아요.,0
2042,번호 달라고 해볼까?,용기를 내보세요!,0
2043,번호 따볼까나,용기를 내보세요!,0
2044,번호키 누르는 소리가 나서 무서움,심하면 신고하세요.,0
2045,벌써 개강이라니,방학이 참 짧죠.,0
2046,벌써 방학 끝이라니,방학이 참 짧죠.,0
2047,벌써 생활비가 없어,허리띠를 졸라 매세요.,0
2048,벌써 잠 와,얼른 주무세요.,0
2049,벌써 허기진다,챙겨 드세요.,0
2050,법을 요리조리 피해가는 사람,능력이긴 하지만 꼬리가 길면 밟힐 거예요.,0
2051,법을 피해가는 사람,능력이긴 하지만 꼬리가 길면 밟힐 거예요.,0
2052,벗어나고 싶어,신경쓰지 마세요.,0
2053,벚꽃 예쁘다,너무 아름답죠.,0
2054,벚꽃구경 가고싶다.,벚꽃 계절이 다가왔네요.,0
2055,벚꽃이 너무 예뻐,너무 아름답죠.,0
2056,베란다 좀 가꿔볼까,심플하게 꾸며보세요.,0
2057,베란다도 꾸미니까 예쁘더라.,심플하게 꾸며보세요.,0
2058,베란다에 뭐 심어볼까,공기정화식물도 좋을 거예요.,0
2059,베터리 15%야,미리 충전하세요.,0
2060,베터리 겨우 15%야,미리 충전하세요.,0
2061,베터리 충전기도 안 가져 왔네,충전할 곳을 찾아보세요.,0
2062,베트남 사업하기 좋을 것 같니?,좀 더 알아보고 하세요.,0
2063,베트남어 배우는 거 어떻게 생각해?,요즘 뜨는 거 같아요.,0
2064,베트남어 배울까,요즘 뜨는 거 같아요.,0
2065,베트남에서 사업해볼까?,좀 더 알아보고 하세요.,0
2066,베프랑 다툼,친구라면 먼저 사과해보세요.,0
2067,베프랑 싸움,대화로 풀어보세요.,0
2068,벨이 울리는 걸 기다려,기다리는 전화가 있나봐요.,0
2069,변기 막혔는데 아무 생각이 안 난다.,얼른 뚫어보아요.,0
2070,변기 막혔어,얼른 뚫어보아요.,0
2071,변명거리 생각해봐,변명보다는 포장이 좋을 것 같아요.,0
2072,변명거리가 생각이 안나,변명보다는 포장이 좋을 것 같아요.,0
2073,변한게 없어,좋은 걸 수도 있어요.,0
2074,변한게 하나도 없어,좋은 걸 수도 있어요.,0
2075,변화가 없어,마음에 따라 얼마든지 바뀔 수 있어요.,0
2076,변화를 좀 주고 싶다.,긍정적으로 바뀔 수 있어요,0
2077,별 보러 가고 싶다,로맨틱하네요.,0
2078,별 보러 시골 가고 싶다,로맨틱하네요.,0
2079,별 사람이 많다,그걸 깨닫다니 대단하시군요.,0
2080,별 일 없었어?,그런 척 하는 걸 수도 있어요.,0
2081,별거 아닌데 떨려,별거 아니지 않아서 그래요.,0
2082,별것도 아닌 거 가지고 트집잡는 사람 어떡해?,웃으면서 무시해주세요.,0
2083,별님에게 물어 보렴,제가 별이에요.,0
2084,별다른 게 없는 일상,그게 행복일지도 몰라요.,0
2085,별다른 게 없어,인생이 그런 거예요. 그러다가 다른 게 나타나죠.,0
2086,별다를 게 없는 하루,작은것에 감사하는 마음을 가져보세요.,0
2087,별들에게 물어봐,제가 별이에요.,0
2088,별의별 사람이 다 있는 듯,정말 특이한 사람 많죠.,0
2089,별이 안 보여,한적한 시골에서 하늘을 올려봐보세요.,0
2090,병무청 시계는 지금도 간다,군대 시계는 멈추지 않아요.,0
2091,병원 가기 싫어,더 아프기 전에 가보세요.,0
2092,병원 너무 가기 싫다,더 아프기 전에 가보세요.,0
2093,보기만해도 짜증이 나지,짜증날 때는 기분 푸는 음악 어때요?,0
2094,보너스 깎였어,월급이 깎인 것보다 낫죠.,0
2095,보드 타러 가야지,저도 배워보고 싶어요.,0
2096,보드게임 재밌다,저도 하고 싶네요.,0
2097,보름달 떴다,소원을 비세요.,0
2098,보름달을 봤어,제 얼굴 보셨나봐요.,0
2099,보이스피싱 같아,전화 끊어버리세요.,0
2100,보이스피싱 같은데,경찰에 신고하고 취할 수 있는 조취를 취해보세요.,0
2101,보이스피싱 당했어,신고하세요.,0
2102,보이스피싱 전화왔어,신고하세요.,0
2103,보이스피싱인듯,전화 끊어버리세요.,0
2104,보일러 틀고 나갔어ㅠㅠ,이번달 난방비가 많이 나오겠네요.,0
2105,보일러 틀어놓고 나왔어.,이번달 난방비가 많이 나오겠네요.,0
2106,보조 배터리 안 가지고 왔다,빌려 보세요.,0
2107,보조베터리 안 가져왔다,빌려 보세요.,0
2108,보증금 마련하는 게 쉽지 않네,은행에 가서 상담 받아보세요.,0
2109,보증금 모잘라,은행에 가서 상담 받아보세요.,0
2110,보험 많이 든 거 같애,미래를 더 준비하고 있나봐요.,0
2111,보험 많이 들었어,미래를 더 준비하고 있나봐요.,0
2112,보험료 설계 다시 해야 하나?,재설계가 필요하다면 하는 게 좋을 것 같습니다.,0
2113,보험료 재설계 해야 하나?,재설계가 필요하다면 하는 게 좋을 것 같습니다.,0
2114,복 받겠지?,뿌린대로 거둘 거예요.,0
2115,복근 만들어야지,윗몸일으키기 시작하세요.,0
2116,복근 좀 생겼으면,윗몸일으키기 시작하세요.,0
2117,복붙으로 끝내더라.,능력이라면 능력이겠죠.,0
2118,복수전공하고 싶어,학점 관리하세요.,0
2119,복전신청했어,많이 배우면 좋죠.,0
2120,복전하고 싶어,학점 관리하세요.,0
2121,복전하면 좋아?,나중에 도움이 될 거예요.,0
2122,복전하면 힘들텐데 그래도 하는게 나을아?,나중에 도움이 될 거예요.,0
2123,복전했어,많이 배우면 좋죠.,0
2124,볼링 치고 놀았어,재밌겠어요.,0
2125,볼링 치고 옴,재밌겠어요.,0
2126,봄날이 기대돼,봄은 항상 두근거려요.,0
2127,봄방학이다!,부럽네요.,0
2128,봄방학했어,부럽네요.,0
2129,봄에 동물원 가는거 어때?,동심으로 돌아갈 거 같아요.,0
2130,봄에 동물원 데이트 어때?,동심으로 돌아갈 거 같아요.,0
2131,봄이 오긴 오나봐,따뜻해졌죠.,0
2132,봄이 왔어,초록초록하네요.,0
2133,봄이 왔으면 좋겠어,봄은 항상 두근거려요.,0
2134,봄이다,초록초록하네요.,0
2135,봄인가봐,날씨가 많이 풀렸죠.,0
2136,봉사도 하고 사랑을 베풀고 싶어,나를 진실로 존중하고 사랑할 때 가능해요.,0
2137,봉사활동 해볼까,의미있는 일이네요.,0
2138,봉사활동도 좀 해야 하는데,의미있는 일이네요.,0
2139,부담스러운 기대 좀 떨쳐낼 없을까?,자신을 사랑할수록 외부의 인정은 필요 없어요.,0
2140,부드러운 이불에서 나가기 싫어,지상 천국이니 당연하죠.,0
2141,부모님 노후가 걱정돼,상담이나 컨설팅을 받아보는 것도 좋을 거예요.,0
2142,부모님 말 안듣고 반항했어,나중에 후회할 거예요.,0
2143,부모님 모실 수 있을까?,형편대로 하세요.,0
2144,부모님 선물 추천.,같이 여행을 떠나보세요.,0
2145,부모님 선물 추천해줘,같이 여행을 떠나보세요.,0
2146,부모님 선물은 뭐가 좋음?,사랑과 현금이면 충분해요.,0
2147,부모님 선물은 뭐할까?,사랑과 현금이면 충분해요.,0
2148,부모님이 같이 살자셔,형편대로 하세요.,0
2149,부모님이 내 꿈을 무시해,꿈에 대한 계획을 구체적으로 말씀드려보세요.,0
2150,부모님이 내 꿈을 반대해,꿈에 대한 계획을 구체적으로 말씀드려보세요.,0
2151,부모님이 선 보래,많이 만나보세요.,0
2152,부모님처럼 살고 싶다,좋은 부모님을 두셨군요.,0
2153,부모님한테 반항했어,나중에 후회할 거예요.,0
2154,부산 갈까?,여행은 항상 좋죠.,0
2155,부산 놀러갈까?,여행은 항상 좋죠.,0
2156,부업할까?,좋아요!,0
2157,부자 되게 해주세요,저도요.,0
2158,부자 백수 하고 싶어,그게 최고죠.,0
2159,부자로 태어 났으면 좋을 텐데,뭔가 안풀리는 일이 있나봐요.,0
2160,부자친구 스트레스,그런 걱정은 안 하셔도 되어요.,0
2161,부케 누가 받지?,누구든 받을 사람이 있을 거예요. 친구들한테 연락해보세요.,0
2162,부케 뭐로 하지,당신이 좋아하는 꽃으로 만들어보세요.,0
2163,부케 어떤 꼿으로 하지,당신이 좋아하는 꽃으로 만들어보세요.,0
2164,부팅 시간 너무 오래 걸려,강제종료 하고 나서 그런 경우가 종종 있어요.,0
2165,분식 먹고 싶아.,건강을 위해 조금씩 드세요.,0
2166,분위기 있는 데서 데이트하고 싶어,매일 가고 싶네요.,0
2167,분위기 좋았는데 망,서로를 향한 감정도 좋았겠죠.,0
2168,분위기 좋았는데 망했다,늦지 않았어요.,0
2169,분위기 좋은 곳에서 데이트하고 싶어,매일 가고 싶네요.,0
2170,분통 터지지만 포기안한다고 말했네요,마음이 힘들겠어요.,0
2171,불 날 뻔,조심하세요.,0
2172,불 날 뻔했어,조심하세요.,0
2173,불공평해,세상은 누구에게나 불공평해요.,0
2174,불만을 입에 달고 다니는 사람 때문에 고민이야,옆에 있어서 피곤하겠어요.,0
2175,불만이 너무 많아,옆에 있어서 피곤하겠어요.,0
2176,불만족스러워,스스로 좋다고 못 느끼는게 제일 어려운 것 같아요.,0
2177,불면증 온 거 같아.,고민이 많은가 봐요.,0
2178,불면증인가,생각이 너무 많아서 그런 것 같습니다.,0
2179,불면증인가봐,고민이 많은가 봐요.,0
2180,불안해,두려워하지 않아도 돼요.,0
2181,불편한 사이가 된 거 같아,관계의 변화가 왔나봅니다.,0
2182,불효자는 웁니다.,연락이라도 드려보세요.,0
2183,뷔페 가고 싶어,저도 딸기 좋아해요. 같이 가요.,0
2184,블랙데이인데 짜장면 같이 먹을 사람이 없어,짜장면은 혼자 먹어도 맛있어요,0
2185,블랙박스 제대로 찍혔을까,지금 확인해보세요.,0
2186,블랙박스로 보면 나올까,지금 확인해보세요.,0
2187,블록체인이 뭐야?,쉽게 말해서 수없이 많은 블록들이 체인으로 엮여있는거예요.,0
2188,블록체인이 왜 이렇게 시끄러워,쉽게 말해서 수없이 많은 블록들이 체인으로 엮여있는거예요.,0
2189,블루투스 이어폰 살까,사면 편하겠죠.,0
2190,블루투스 이어폰 편하겠지,사면 편하겠죠.,0
2191,비 맞아서 옷 젖었어,감기 조심 하세요.,0
2192,비 오기 시작하네,우산 준비하세요.,0
2193,비 오네,우산 준비하세요.,0
2194,비 오는 날,우산 들고 나가세요.,0
2195,비 오는 날 데이트,실내 데이트가 좋겠네요.,0
2196,비 오는 날은 만나서 뭐할까,실내 데이트가 좋겠네요.,0
2197,비 오는데?,우산 챙기세요.,0
2198,비 오는데?,우산 들고 나가세요.,0
2199,비 온다,비 맞으면 안돼요!,0
2200,비 와,우산 챙기세요.,0
2201,비가 와서 눅눅해,제습기를 돌려보세요.,0
2202,비꼬는 사람,피할 수 있으면 피하세요.,0
2203,비만 판정 받았어,건강하게 운동해보세요.,0
2204,비밀 지켜줄까?,세상에 비밀은 없어요.,0
2205,비밀 지킬 수 있을까,세상에 비밀은 없어요.,0
2206,비밀번호 기억안 나,회원정보 찾기를 해보세요.,0
2207,비밀번호 까먹었다,회원정보 찾기를 해보세요.,0
2208,비밀번호 뭐였더라,회원정보 찾기를 해보세요.,0
2209,비밀번호 자꾸 바꾸래,보안상 그게 좋죠.,0
2210,비밀번호 자꾸 바꿔,보안상 그게 좋죠.,0
2211,비밀연애 하고 있어,스릴있겠네요.,0
2212,비밀은 없는 거겠지,언젠가 다 밝혀지기 마련이죠.,0
2213,비밀은 없어,언젠가 다 밝혀지기 마련이죠.,0
2214,비밀이 너무 많은 거 같아,하나씩 비밀을 공유해보세요.,0
2215,비싼 명품 이제 그만 사야겠어,남의 눈을 위한 거라면 필요 없어요.,0
2216,비싼 선물 부담스럽나.,고가의 선물은 부담스러울 수도 있어요.,0
2217,비싼게 맛있어,가려 먹으면 좋죠.,0
2218,비오는날 뭐할까?,실내 데이트요.,0
2219,비오는날 뭐해?,실내 데이트요.,0
2220,비오면 마중 나와 주는 사람 있어서 좋다,우산 같은 사람이네요.,0
2221,비정규직 서럽다,사람이 가장 중요한데 말이죠.,0
2222,비정규직 차별,차별이 가장 안 좋은 건데 슬프네요.,0
2223,비정규직은 사람도 아닌가,사람이 가장 중요한데 말이죠.,0
2224,비정규직이라 차별받아,차별이 가장 안 좋은 건데 슬프네요.,0
2225,비타민 먹어야지,꼬박꼬박 챙겨 드세요.,0
2226,비타민 사서 먹어야겠다.,꼬박꼬박 챙겨 드세요.,0
2227,비트코인 날림,안타깝지만 잊어버리세요.,0
2228,비트코인 망함 한강 가자,어서 잊고 새출발 하세요.,0
2229,비트코인 ㅜㅜ,안타깝지만 잊어버리세요.,0
2230,비행기 타러 간다!,잘 다녀오세요.,0
2231,비행기 타러 공항 간다,잘 다녀오세요.,0
2232,비행기표가 너무 비싸,일찍 구매하면 좀 더 저렴하게 살 수 있어요.,0
2233,비행기표가 왜이렇게 비싸,일찍 구매하면 좀 더 저렴하게 살 수 있어요.,0
2234,빙빙 돌려서 말하지 말고 다이렉트로 말했으면,말하는 습관 차이인 듯 합니다.,0
2235,빙수 맛있다,디저트는 언제나 맛있어요.,0
2236,빚 때문에 죽을 것 같아,빚 얼른 갚고 새출발하세요.,0
2237,빚이 너무 많아,빚 얼른 갚고 새출발하세요.,0
2238,빠떼리 나감,얼른 충전하세요.,0
2239,빡빡한 일상,여유가 생기길 바랍니다.,0
2240,빨래 끝,이제 청소 시작.,0
2241,빨래 다했다.,이제 청소 시작.,0
2242,빨래했어.,부지런하시네요.,0
2243,빨리 걷다가 넘어질뻔,조심하세요.,0
2244,빨리 정규직 하고 싶다,곧 할 수 있을 거예요.,0
2245,빵 먹어야지,맛있게 드세요.,0
2246,빵 한 개만 먹어야지,맛있게 드세요.,0
2247,빵꾸난 양말 봤나,괜찮아요. 그럴수도 있죠.,0
2248,빼빼로 만들어 주면 좋아할까,먹어보고 싶어요.,0
2249,빽 선물 받았어,정말 기분 좋으시겠어요.,0
2250,빽 선물 해도 될까,받는 사람은 정말 좋겠어요.,0
2251,뻔하다,한가지만 보면 몰라요.,0
2252,뻘짓 한 느낌 싫다,바람 좀 쐬고 오시면 좋은텐데.,0
2253,뿌리 염색 다시 해야 되겠다,참 귀찮은 일이죠.,0
2254,뿌염해야지,참 귀찮은 일이죠.,0
2255,사과를 안해,나쁜 사람이네요.,0
2256,사과할 사람은 사과를 안해,나쁜 사람이네요.,0
2257,사귀고 싶어,마음을 더 열어보세요.,0
2258,사내에서 비밀 연애 하고 있어,스릴있겠네요.,0
2259,사는 게 허무해요,뜻대로 되는게 많지 않죠.,0
2260,사는게 날 너무 지치게 해,지칠 때는 쉬어도 돼요.,0
2261,사다리타기 맨날 꽝이야,다른 곳에 쓰려고 운을 아껴뒀나봐요.,0
2262,사다리타기 맨날 운이 안 좋아,다른 곳에 쓰려고 운을 아껴뒀나봐요.,0
2263,사람 관리하는 게 제일 힘들어,너무 믿지 마세요.,0
2264,사람 만나는 거 너무 어려워,미리 움츠러들지 않아도 돼요.,0
2265,사람 만나는 게 쉽지 않아,미리 움츠러들지 않아도 돼요.,0
2266,사람 만나는 게 피곤해,그 사람을 위해 에너지를 쓰니까요.,0
2267,사람 많아서 기다려야할지도,커피 한잔 마시며 기다려보세요.,0
2268,사람 사이에 있어도 외로워,사람은 외로운 동물이죠.,0
2269,사람들은 왜 이렇게 날 힘들게 할까,인간 관계가 제일 힘든 거 같아요.,0
2270,사람들은 왜 이렇게 신경쓸까,신경쓰는 사람들 무시하세요.,0
2271,사람들이 나 이상하대,그 누구도 아닌 자기 걸음을 걸으세요.,0
